'Pb','Fe','In','Brass','Nb','Au','V','Ag','Zn','Zr','Ti','Rh','Ni','W','U','Cu'
'Feb1','Jan30','Feb1','Feb6','Feb1','Feb15','Feb6','Feb15','Jan30','Feb1', 'Feb1','Feb15','Feb15','Feb15','Jan30','Jan30'
527,2,10,31,23,1077,5,10,12,27,0,18,29,48,1,8
657,0,7,32,31,1165,6,11,6,20,2,20,17,59,1,14
914,0,8,25,27,1216,15,6,10,17,2,14,21,51,4,10
1172,3,6,26,31,1172,6,6,9,30,6,15,29,49,2,13
1626,3,7,34,31,1156,14,10,9,22,1,19,20,36,3,6
1973,2,11,31,30,1092,10,10,10,20,5,16,25,51,4,17
2390,3,8,35,28,954,9,11,9,36,8,13,19,56,5,7
2597,2,9,48,34,906,5,5,12,21,7,22,25,56,5,13
2642,1,10,30,32,732,6,6,12,20,4,22,20,48,3,4
2481,2,12,31,26,660,4,15,13,21,8,23,26,64,2,13
2146,2,5,27,33,637,2,8,14,23,8,9,21,59,2,7
1739,4,8,39,22,447,2,10,8,23,12,24,16,61,1,8
1341,3,7,28,21,385,1,12,11,20,9,25,18,53,2,11
948,5,8,18,28,329,2,5,9,25,19,16,18,43,6,16
642,1,6,32,18,277,2,9,9,21,8,15,14,46,3,11
483,3,7,45,36,212,3,5,7,22,6,22,15,46,1,11
366,2,7,37,25,171,1,4,10,27,9,17,12,63,4,10
233,4,6,36,34,145,4,10,10,22,9,21,13,79,2,10
199,2,5,32,32,139,3,8,7,21,5,11,17,82,2,17
175,1,9,22,29,89,2,11,11,28,5,11,22,109,6,13
145,1,10,26,37,83,4,10,6,23,6,20,18,130,6,11
133,3,5,32,36,71,2,12,10,34,8,31,6,155,6,11
129,1,3,35,43,61,2,9,10,35,7,26,17,187,7,14
107,4,4,39,29,43,1,11,4,27,3,24,18,224,7,11
74,2,3,30,33,50,1,11,9,20,4,16,11,211,5,11
53,5,7,40,44,35,2,13,12,25,8,17,18,234,1,9
59,5,3,40,33,32,3,12,10,29,3,20,21,213,6,7
53,3,5,41,37,19,3,10,11,34,6,31,15,199,6,12
49,0,8,36,34,19,6,6,11,27,3,12,10,173,9,11
32,2,7,46,52,25,2,12,7,32,4,11,13,139,12,11
34,1,8,32,37,11,3,10,9,31,2,21,17,130,10,9
30,4,10,34,53,20,2,16,11,34,6,17,16,98,13,13
33,3,10,32,48,12,0,16,12,30,5,22,19,94,15,15
25,6,8,19,42,9,4,11,15,31,3,19,21,78,6,12
30,2,7,16,37,15,4,13,10,33,4,14,13,70,9,11
21,4,7,25,46,13,2,10,12,39,2,12,16,82,8,10
24,5,6,20,29,8,2,9,8,27,2,14,10,79,10,4
14,10,2,27,32,13,1,6,16,28,6,16,16,84,5,2
16,4,4,30,36,9,3,10,18,30,7,14,17,72,2,11
25,3,3,29,27,7,3,14,15,34,1,18,14,87,3,3
11,5,8,31,27,15,6,9,15,37,4,17,23,75,1,7
15,5,3,27,32,13,4,20,10,41,8,23,22,71,1,6
17,8,5,23,27,13,6,6,11,22,5,15,21,72,5,8
22,5,7,28,44,12,5,13,12,29,1,17,25,47,6,11
13,5,10,21,27,11,5,26,14,34,2,17,12,48,3,13
13,7,5,22,34,12,2,21,10,24,6,17,23,30,3,4
20,3,7,32,35,11,3,12,15,29,6,20,19,30,4,3
14,7,9,21,38,12,4,14,13,30,7,24,11,25,6,11
14,8,11,28,36,7,3,16,11,40,6,24,23,25,6,11
20,12,13,21,24,9,2,19,9,39,7,17,7,22,5,6
13,7,8,32,35,12,5,22,9,26,3,15,10,22,4,6
19,5,16,25,22,12,5,11,12,27,2,18,21,18,6,6
27,9,10,30,43,25,3,11,8,29,9,17,8,14,7,12
27,9,4,29,24,17,0,15,7,34,15,26,15,21,6,9
12,4,12,27,31,14,1,8,9,27,10,21,20,18,3,7
20,4,8,16,43,17,3,17,15,29,6,24,8,17,7,9
22,6,6,16,27,23,3,9,6,42,5,19,12,21,7,9
23,5,10,23,35,16,3,18,11,22,8,17,16,19,12,7
21,4,11,28,32,11,6,15,4,31,6,17,19,15,12,10
26,1,13,30,36,22,4,11,5,31,6,20,14,13,18,7
26,1,7,22,36,21,3,17,12,31,14,15,17,10,14,10
23,3,7,23,35,25,1,10,19,44,4,19,19,11,25,9
35,1,7,19,42,33,2,12,8,33,7,21,20,7,28,2
28,1,14,17,36,33,5,11,9,30,4,19,18,9,37,6
27,3,6,25,50,28,1,9,7,36,7,12,19,14,27,17
32,3,14,20,38,41,4,8,15,26,4,19,19,4,31,6
22,4,14,25,33,47,4,11,11,32,5,25,15,11,31,10
36,2,8,16,47,55,4,11,10,36,5,25,24,8,35,11
44,1,5,27,42,86,9,5,6,28,12,18,14,12,31,10
32,1,12,29,29,82,5,9,11,34,13,15,15,8,20,13
67,2,8,24,49,98,5,12,14,40,8,17,11,7,14,11
89,2,15,24,48,124,5,21,11,35,7,13,20,9,11,12
150,1,8,26,45,126,2,14,5,26,10,21,18,5,11,5
168,1,6,17,44,122,4,13,6,39,8,18,15,12,4,8
211,1,2,23,55,130,5,9,8,54,4,22,22,17,8,9
233,1,12,18,31,105,4,10,9,41,7,20,18,13,5,10
241,2,4,24,52,105,8,16,6,49,7,34,20,12,3,13
236,1,7,18,52,81,0,8,5,38,8,21,16,11,4,10
239,3,9,30,45,67,2,5,5,38,7,29,18,22,6,6
157,1,10,24,33,75,9,19,4,50,9,27,13,13,4,11
141,2,10,14,34,73,3,8,11,36,5,27,11,8,6,10
137,0,12,21,51,62,3,18,4,53,8,11,19,9,3,14
93,0,5,17,57,57,1,18,3,42,11,32,14,15,2,11
84,3,17,22,42,68,3,10,7,47,9,14,18,8,1,8
54,2,12,22,41,58,6,13,8,46,8,15,17,11,3,7
78,1,13,17,43,53,3,13,6,48,4,12,14,11,3,8
86,1,12,12,50,52,3,15,7,45,9,17,14,7,2,13
76,0,13,20,53,43,6,13,8,41,9,17,24,7,0,12
76,2,17,30,47,47,4,15,9,50,7,29,25,8,3,8
66,1,12,26,60,46,3,3,5,57,10,17,14,8,2,7
70,2,12,27,47,45,5,11,11,51,1,22,22,4,5,15
74,0,8,11,56,32,5,12,9,48,9,20,27,3,5,11
55,3,9,29,52,28,4,14,5,49,6,21,24,9,8,8
38,2,7,24,70,25,4,11,10,48,14,25,20,8,7,4
28,2,8,20,55,24,6,13,9,46,7,22,25,11,8,8
20,0,10,21,67,18,8,15,8,57,8,21,25,10,2,10
20,2,8,25,59,18,6,11,5,72,15,28,18,12,3,16
20,1,13,33,65,11,5,8,7,58,9,26,14,6,5,12
14,4,13,21,79,18,5,10,3,45,4,25,24,3,4,7
21,0,15,18,67,17,2,12,5,51,8,30,23,8,2,9
14,1,9,19,70,15,9,17,5,68,4,23,23,6,3,8
20,0,17,19,78,16,11,8,10,63,9,28,17,14,4,12
22,4,18,23,75,15,8,13,7,73,6,33,20,8,8,15
16,0,16,25,82,12,8,9,11,67,13,32,25,9,5,6
19,0,30,33,85,15,9,13,9,73,8,26,20,9,6,10
21,0,19,27,66,15,14,14,6,69,19,28,32,12,3,10
22,1,6,33,70,5,12,15,9,75,14,32,24,3,2,9
21,1,19,37,94,9,12,16,6,103,9,38,26,10,4,10
14,0,14,30,96,9,13,12,9,90,11,46,20,13,6,8
15,0,9,30,103,9,15,14,12,89,13,34,27,13,1,5
22,0,18,22,97,6,18,14,8,95,11,32,26,10,4,13
12,3,20,35,87,7,15,7,3,101,9,39,37,11,7,10
15,2,13,34,112,10,13,12,8,112,20,35,29,8,3,13
20,0,18,31,74,11,22,14,6,125,12,30,27,11,6,9
18,0,15,30,91,6,18,18,9,120,11,46,31,15,2,13
14,0,23,29,93,6,19,14,8,126,20,32,48,6,2,12
16,2,15,31,124,2,22,10,8,125,12,34,46,9,2,11
15,1,15,25,88,12,35,9,9,123,13,28,33,13,9,11
22,1,24,34,114,11,27,10,2,164,13,37,42,9,4,23
14,3,19,28,145,7,35,12,8,152,13,39,32,11,7,8
15,1,17,35,137,4,22,18,6,185,13,35,38,12,7,18
18,0,17,30,144,14,26,13,5,221,20,41,40,9,6,5
16,0,26,31,136,6,25,12,9,251,18,39,37,13,6,18
25,0,22,33,167,6,17,17,4,304,18,37,28,8,4,9
15,0,19,40,150,7,23,18,12,340,23,47,34,12,8,12
11,0,25,43,186,10,18,14,1,441,17,42,35,9,5,18
12,0,20,38,183,6,22,14,3,574,30,45,21,14,6,14
17,0,16,32,162,11,20,19,8,804,30,38,21,11,6,16
12,0,28,34,184,8,17,17,14,1043,25,39,24,8,5,17
19,0,15,41,198,8,13,13,4,1558,29,35,17,14,3,18
12,0,40,45,193,7,24,12,7,2011,53,51,19,7,6,14
22,0,24,39,260,8,23,21,9,2725,33,54,16,9,10,16
12,3,31,47,280,9,26,13,7,3510,42,41,10,7,7,16
27,0,35,50,348,1,30,14,5,4415,48,45,13,8,9,19
17,1,43,50,390,3,23,13,6,4992,52,37,13,8,9,24
17,0,45,47,535,3,20,10,9,5407,46,52,10,5,2,28
20,1,70,45,662,5,7,16,5,5386,50,55,12,6,6,19
33,0,86,37,944,5,11,13,13,4876,52,54,8,10,4,22
32,1,109,46,1135,8,12,17,6,4341,43,57,17,8,12,19
55,1,110,38,1509,6,7,12,10,3439,49,56,8,5,7,20
54,0,117,51,1740,10,14,15,9,2611,41,80,11,10,4,25
60,1,113,35,2112,6,5,19,7,1725,42,58,6,10,2,15
45,1,92,46,2307,11,5,14,13,1145,41,74,20,6,10,32
38,1,88,39,2260,3,7,10,12,683,51,82,14,10,5,31
44,1,68,39,2244,12,10,14,12,389,32,63,11,3,5,24
25,1,57,36,1894,5,4,14,7,252,31,68,11,8,7,24
21,1,40,35,1630,5,7,19,6,137,43,84,14,5,11,11
18,1,31,43,1329,4,9,12,9,109,36,59,6,4,6,9
21,0,28,49,1094,8,11,23,7,79,30,49,10,9,6,16
15,0,34,45,950,8,4,18,5,67,32,65,4,10,7,3
12,0,41,36,849,7,9,13,6,73,39,69,12,6,9,9
26,0,20,46,965,7,6,20,9,72,24,78,6,12,10,5
20,2,42,44,1154,4,9,13,8,75,32,54,11,3,6,6
