25,25,25,45,45,45
bck,cu,al,cu,al,bck
154,195,205,171,175,146
137,183,180,169,182,162
153,198,176,170,169,141
143,199,166,168,180,133
137,184,186,167,157,136
144,161,189,168,164,137
122,184,195,150,149,120
144,158,200,159,182,131
119,170,176,159,180,116
134,178,177,140,174,118
118,185,190,151,163,126
119,157,197,167,163,148
141,155,171,149,183,117
126,153,181,155,172,126
135,164,177,155,181,118
116,170,195,172,160,145
141,186,173,156,171,122
121,147,182,159,188,127
123,177,168,144,155,123
127,164,184,137,161,90
126,162,164,157,161,128
121,150,179,158,160,104
122,157,172,153,140,129
130,165,182,142,156,112
134,158,146,134,161,135
113,168,172,119,138,114
122,156,165,154,147,120
107,142,178,150,173,140
103,134,188,152,172,128
94,142,163,153,152,115
109,140,151,129,163,119
123,154,177,136,140,102
100,139,169,144,131,127
122,161,168,139,162,126
94,134,170,129,150,127
102,168,166,137,142,120
105,125,162,140,175,126
125,154,181,136,123,122
107,161,146,157,133,121
109,156,172,132,139,103
96,149,155,151,137,105
100,154,143,127,145,131
127,153,147,122,130,121
95,126,140,113,125,122
113,149,157,117,143,119
132,150,150,136,154,122
114,126,154,112,121,114
106,144,159,112,117,108
113,134,165,141,148,88
93,152,164,115,146,95
117,112,171,112,136,91
122,132,143,141,118,119
108,133,156,124,121,103
86,133,146,99,153,104
101,136,133,106,129,99
94,134,134,107,119,96
123,135,141,106,122,99
111,122,148,108,137,90
103,127,140,98,113,95
105,132,157,95,127,96
90,119,160,117,105,96
97,121,143,93,101,96
99,137,116,105,108,94
108,134,127,92,102,100
100,130,127,115,105,93
84,138,133,91,136,70
100,129,115,97,107,76
85,131,131,97,116,76
98,119,141,98,130,70
75,117,143,109,101,76
89,122,113,96,117,73
92,101,126,92,107,77
71,119,127,83,100,81
88,113,108,80,123,85
83,89,122,102,93,78
85,96,126,73,121,71
81,105,123,80,107,85
87,109,108,95,113,84
81,98,102,85,130,59
74,99,111,102,106,76
67,92,121,99,104,76
82,107,103,111,105,64
82,94,108,99,121,69
71,98,106,119,138,89
76,94,119,101,122,84
92,96,105,125,114,65
78,89,104,123,120,76
68,87,111,121,119,73
66,97,120,115,133,80
94,100,114,115,126,75
87,91,111,153,146,69
70,94,109,133,144,69
67,101,107,123,160,73
66,97,110,149,170,66
70,84,102,121,143,66
77,79,102,129,147,56
70,100,93,130,153,72
66,96,106,151,159,67
80,96,94,148,157,73
75,80,122,152,171,52
89,87,104,154,159,63
72,109,95,140,168,62
81,100,97,172,152,74
79,102,116,142,161,72
89,93,123,158,170,75
74,85,109,130,158,86
70,96,119,140,164,56
99,125,102,132,172,57
81,108,109,148,149,82
77,103,115,149,137,72
74,104,108,108,155,71
71,111,119,121,127,75
62,112,120,113,164,61
92,114,119,109,146,77
79,114,138,117,153,67
75,116,136,119,118,65
92,130,128,95,98,59
83,128,113,126,117,75
94,131,107,94,109,64
72,110,154,108,126,84
86,104,124,100,112,70
74,135,158,102,91,67
65,164,151,96,122,58
71,143,174,81,92,58
94,148,152,85,94,54
71,156,154,75,107,69
83,135,165,79,103,69
66,157,166,76,94,63
84,169,177,104,92,59
89,166,182,82,88,80
71,195,194,91,85,78
60,153,202,75,79,68
77,172,168,75,83,63
79,178,200,95,76,67
62,151,190,85,75,68
63,172,172,69,72,62
84,202,173,78,77,68
64,178,184,65,63,52
58,184,197,72,76,70
85,196,209,75,77,64
68,186,197,70,73,69
72,184,199,70,87,54
83,189,155,83,64,74
82,186,168,88,62,65
86,167,179,52,71,55
82,140,181,59,78,64
60,162,159,55,69,79
71,124,130,73,78,59
69,150,133,47,62,70
67,147,127,53,61,50
83,151,131,52,67,66
75,140,115,70,66,64
59,127,117,64,64,46
87,101,133,53,68,65
66,116,122,58,61,73
69,113,95,55,67,64
65,117,122,87,62,55
50,102,101,47,67,57
71,117,101,65,71,62
57,99,109,66,50,77
68,101,89,63,61,68
75,99,98,55,64,60
63,100,103,71,61,52
71,81,82,57,56,47
61,88,74,54,66,48
57,81,69,52,56,64
59,101,83,63,70,62
52,70,66,66,67,60
70,88,89,56,53,68
33,70,72,53,59,57
56,82,66,51,60,71
59,65,70,65,57,41
48,60,75,57,53,43
53,61,63,58,56,51
44,52,67,51,55,60
48,55,40,64,53,41
59,58,62,38,59,51
53,61,71,54,45,58
48,51,50,47,67,50
44,48,38,43,46,49
58,56,44,46,45,49
58,62,55,54,52,43
36,50,58,48,47,54
59,54,58,50,50,51
43,47,59,53,53,42
49,39,55,44,38,39
66,57,41,44,46,49
41,43,37,43,51,46
34,42,44,61,43,49
42,45,52,47,33,40
57,45,38,46,45,41
43,57,44,36,38,60
56,40,45,36,45,46
40,40,35,45,42,53
37,51,41,44,44,45
55,38,41,44,44,40
44,29,45,40,47,32
39,46,50,34,54,50
45,38,60,46,49,52
43,34,38,30,34,42
43,44,42,46,50,45
38,44,33,44,34,44
52,46,38,40,49,46
38,58,41,35,46,49
30,34,42,42,42,31
45,39,28,43,33,46
40,37,42,50,43,37
30,42,38,42,39,39
40,39,35,34,40,31
35,35,40,40,38,47
33,37,38,46,44,30
34,37,36,34,37,35
50,31,39,41,38,48
38,39,31,41,41,33
31,41,41,44,33,38
34,48,36,36,42,45
40,35,35,30,34,36
41,42,32,37,35,27
33,49,37,35,31,39
41,32,38,26,36,38
37,39,45,40,38,37
40,39,38,46,40,39
34,37,46,38,36,44
29,32,41,38,34,32
37,40,31,33,26,31
39,31,44,39,38,41
29,38,32,45,33,31
37,27,29,29,38,34
37,30,38,43,44,38
38,36,29,35,43,29
30,42,44,40,37,40
34,42,38,43,23,27
38,38,24,56,38,48
37,40,30,32,20,34
30,29,35,34,30,28
37,35,39,40,32,30
45,42,28,40,30,35
29,41,40,39,40,31
32,39,39,32,35,32
39,31,42,47,42,24
46,46,39,30,49,37
38,35,33,39,37,43
33,28,41,34,35,32
42,33,43,45,30,29
31,32,34,32,36,31
43,33,34,30,28,41
34,35,31,35,43,36
43,49,32,36,36,39
43,28,44,39,41,29
41,46,28,49,35,43
36,31,42,33,33,47
32,26,27,33,39,28
28,42,38,32,36,32
47,39,34,30,35,35
28,37,32,33,34,36
36,48,28,31,33,44
41,35,32,29,36,26
40,52,27,30,37,38
46,19,26,30,34,31
50,36,51,40,28,29
39,37,37,30,41,32
28,36,36,37,36,41
24,34,21,37,41,25
29,28,37,28,26,28
37,33,38,37,32,29
31,19,23,35,35,27
28,39,30,40,40,40
35,39,33,36,29,42
26,32,43,27,31,35
40,40,39,32,41,35
36,38,35,42,36,37
34,39,34,29,29,25
31,40,33,26,35,48
34,30,34,43,24,36
24,24,34,30,29,36
30,39,31,37,38,34
30,26,30,43,31,39
28,39,37,33,30,28
35,34,38,45,37,33
27,31,32,45,29,33
35,36,37,40,35,34
40,39,25,39,31,29
37,30,35,35,30,26
30,40,34,43,27,35
37,31,51,26,32,38
35,32,27,41,34,41
31,28,39,31,29,39
47,24,37,40,29,24
41,24,35,23,27,33
37,38,42,38,32,43
34,34,46,36,44,43
40,37,22,44,26,26
29,41,26,36,36,34
40,32,25,41,39,35
34,37,38,36,27,45
38,33,26,36,39,38
29,33,32,37,31,48
28,35,29,28,34,37
37,26,31,38,26,35
30,35,36,43,31,29
41,31,26,41,26,48
37,25,33,43,39,38
33,42,34,43,26,31
35,37,32,33,36,34
28,36,36,30,37,37
36,35,33,26,30,34
30,32,45,42,33,31
33,24,34,38,39,32
25,26,38,31,37,31
20,33,24,25,25,37
27,37,36,41,33,33
26,37,28,31,33,37
35,32,33,27,27,21
28,22,31,31,36,38
27,21,34,30,28,32
37,37,34,34,37,40
23,38,23,29,34,27
36,24,29,37,27,40
25,21,30,26,30,26
37,35,29,29,26,34
30,20,26,35,24,27
32,34,32,31,27,30
26,35,34,24,33,40
33,24,25,31,30,28
39,27,24,28,35,24
27,18,39,23,42,32
36,26,28,26,24,26
28,22,25,39,29,30
30,22,29,25,27,28
27,19,22,27,25,32
29,29,29,28,38,33
36,28,23,33,28,28
28,24,25,23,20,27
27,31,18,27,39,26
33,32,20,20,25,28
26,30,30,30,15,31
22,19,21,17,27,28
27,23,25,21,33,25
17,27,17,18,24,27
22,25,28,21,21,27
21,24,16,32,29,25
28,30,28,39,33,24
29,22,13,27,26,19
23,20,22,22,18,31
27,23,27,29,21,17
22,28,23,20,32,21
20,15,21,24,14,20
24,24,28,23,17,23
20,23,15,32,22,24
17,16,11,23,26,29
29,24,22,28,28,27
23,13,19,25,25,21
30,30,27,21,24,26
20,22,25,29,18,16
15,22,13,28,17,20
24,14,25,21,29,29
14,20,12,16,20,14
21,13,26,23,14,15
26,16,17,23,21,25
22,19,20,18,21,21
14,20,23,21,22,28
23,18,14,21,17,21
23,14,18,17,13,23
17,20,22,19,13,25
23,15,20,21,23,19
23,20,17,16,25,24
21,23,26,17,21,21
21,17,24,24,22,24
18,22,17,20,24,18
13,21,16,17,17,15
19,15,20,18,19,17
24,20,16,15,17,26
16,25,20,14,14,16
19,19,26,17,18,23
20,14,14,22,12,17
28,18,29,18,20,25
22,20,36,20,25,15
25,16,22,28,28,11
16,24,15,24,13,16
22,22,21,17,18,16
26,15,20,31,21,20
18,11,17,22,16,13
23,22,21,21,24,14
13,19,23,27,16,16
11,24,15,16,26,19
24,24,23,23,12,18
14,16,24,22,19,18
22,16,17,27,28,16
21,25,22,25,19,20
20,18,22,25,22,25
23,28,24,21,25,25
18,27,25,19,33,30
28,25,30,30,26,25
26,24,26,30,26,22
31,30,19,22,30,25
24,32,26,31,24,20
27,24,24,23,27,24
15,35,32,24,30,24
24,34,28,31,24,28
28,21,29,27,27,39
18,32,22,28,28,33
22,32,28,30,35,23
34,26,28,23,31,33
20,19,14,33,22,28
33,22,40,22,26,29
19,35,23,31,29,37
23,30,33,31,24,29
26,22,19,28,30,29
45,31,29,29,31,28
23,24,39,25,36,22
25,26,20,22,24,31
33,21,32,20,33,31
30,28,24,23,34,30
26,23,23,19,26,31
25,24,22,31,23,22
32,23,29,21,17,28
32,30,34,23,24,26
24,22,25,30,28,20
31,28,23,26,20,26
18,24,24,30,26,32
25,34,34,30,19,18
20,26,24,25,33,25
32,16,19,25,19,22
14,23,20,25,22,22
30,22,24,22,29,30
22,24,23,22,26,21
24,19,16,20,28,32
31,26,23,29,20,23
22,22,25,26,18,23
23,21,33,20,27,22
18,19,17,22,17,25
16,21,21,22,31,24
21,18,20,10,20,24
21,25,21,17,24,19
24,19,23,17,22,22
18,21,25,22,16,18
19,24,29,18,11,14
18,24,26,13,17,24
14,21,14,22,22,20
16,18,21,17,22,21
18,13,22,16,21,16
11,14,23,24,15,34
24,20,15,17,23,19
16,13,15,13,17,9
16,20,12,17,19,15
15,16,14,23,21,12
13,11,21,19,11,19
13,16,11,13,10,17
8,16,11,14,16,14
11,8,13,16,17,15
25,15,17,12,17,17
19,14,16,18,12,19
17,19,17,12,19,7
17,18,17,11,17,23
8,14,14,19,15,13
9,19,17,15,15,9
15,10,16,14,15,13
10,11,17,14,10,11
7,9,12,9,10,13
22,13,8,13,14,11
12,12,8,15,11,16
16,18,15,9,15,14
13,10,17,16,16,16
14,14,13,14,15,15
13,10,12,17,17,18
10,13,12,17,15,6
9,12,21,13,11,18
9,13,11,15,12,12
11,9,10,14,8,13
16,11,13,12,10,12
11,14,12,9,12,6
16,11,11,7,8,8
9,10,11,11,12,10
7,12,17,14,7,10
5,9,10,11,11,10
9,8,13,12,9,9
11,6,10,12,11,10
11,11,8,4,7,18
9,10,11,10,7,13
5,6,8,7,6,6
8,4,14,6,5,14
15,7,4,13,8,8
6,8,10,7,9,8
6,4,9,5,3,12
6,8,6,7,10,6
7,13,5,4,9,6
9,5,10,10,13,7
11,8,14,7,13,10
9,4,8,7,10,8
9,9,14,8,9,11
4,7,10,6,6,15
8,4,5,8,14,12
15,6,6,15,4,11
4,7,9,9,5,6
7,8,8,5,8,4
11,8,10,8,5,8
11,8,7,8,7,10
7,5,12,9,9,6
8,7,6,9,5,9
12,6,6,6,7,6
8,2,3,8,7,3
6,5,8,10,13,9
10,4,6,7,6,8
1,4,7,4,9,9
8,11,5,13,5,6
8,6,7,8,7,9
9,8,12,6,14,8
10,8,5,5,2,3
5,11,6,9,8,11
3,6,9,5,4,5
12,5,6,9,10,6
7,10,5,5,6,6
12,7,7,8,4,8
8,7,3,10,9,4
7,6,3,5,9,5
7,6,3,3,9,5
10,5,10,8,6,12
8,8,7,7,5,6
4,2,3,8,5,9
7,8,8,2,3,9
3,11,5,8,6,6
10,5,7,6,11,2
5,7,6,10,4,7
6,9,6,6,8,3
3,4,4,3,7,15
7,3,7,4,4,4
6,7,9,8,4,5
3,7,8,4,4,7
6,4,2,5,4,5
4,6,3,9,6,4
6,4,7,2,5,8
3,3,6,7,6,10
8,5,3,4,11,6
10,3,6,8,5,8
5,4,3,2,4,7
5,6,9,6,6,3
7,7,6,4,9,5
6,9,9,9,4,6
2,6,5,3,2,5
6,5,3,5,6,3
10,3,7,5,4,4
8,6,10,3,1,5
8,6,4,1,6,2
6,6,8,7,9,11
5,2,11,3,8,7
7,7,5,1,4,3
1,1,3,3,7,3
2,0,2,6,3,4
6,4,7,9,6,5
3,5,5,1,3,3
6,8,7,5,6,6
8,8,6,6,4,5
1,4,6,9,6,1
3,3,7,8,2,7
4,5,5,5,2,4
10,3,4,2,3,7
11,2,10,6,8,7
6,2,7,3,5,6
7,10,2,2,4,2
8,4,2,9,5,3
6,4,1,4,3,7
2,6,4,9,3,1
6,6,6,7,3,7
4,6,4,10,6,8
2,2,6,2,6,6
6,1,9,8,5,5
7,6,1,1,5,4
1,9,6,5,7,6
4,2,5,6,4,4
5,4,7,4,7,5
8,10,4,7,10,3
4,3,5,7,2,6
4,5,4,1,2,8
5,7,6,4,2,5
4,4,7,2,8,8
3,4,5,5,7,3
3,9,10,3,4,5
5,6,7,11,4,3
5,4,6,5,5,5
1,5,4,4,4,5
4,4,3,6,8,6
6,4,6,9,13,5
5,3,3,7,4,3
4,3,9,4,9,6
7,6,2,6,6,3
2,2,8,7,4,7
4,5,6,5,10,3
6,6,4,3,4,4
3,5,7,6,6,10
10,2,5,5,4,6
5,3,6,4,4,5
5,5,5,1,6,6
5,5,7,4,3,6
5,2,4,7,9,2
9,3,8,1,5,7
4,9,1,8,6,2
4,6,6,5,5,4
8,3,4,6,5,7
3,3,5,4,4,3
5,7,5,4,2,2
4,6,8,5,9,5
3,3,3,2,3,6
8,5,6,4,5,1
4,1,2,7,3,7
3,6,6,2,1,5
10,7,8,5,4,5
4,3,4,4,5,4
6,6,3,4,4,2
2,3,4,8,5,2
6,4,6,5,3,8
2,5,5,2,5,1
8,5,5,1,5,4
6,4,11,4,5,2
5,6,6,10,3,3
3,4,7,3,4,7
4,5,4,2,8,6
6,3,7,4,8,1
2,7,2,8,5,7
3,2,6,2,4,5
4,3,3,5,2,7
1,4,2,5,4,3
7,4,2,2,2,4
3,5,2,4,2,3
3,5,2,6,1,2
4,5,2,3,1,4
2,1,9,2,3,3
2,6,8,3,5,4
5,3,4,5,2,2
6,5,5,1,3,1
1,3,2,0,9,5
3,7,2,2,6,1
6,0,2,8,3,2
3,4,1,4,5,4
2,3,5,4,8,0
4,6,5,6,5,3
6,2,4,3,3,4
10,6,5,1,5,6
3,5,2,1,1,5
2,2,2,6,5,2
4,1,4,8,5,4
4,4,0,4,2,5
6,4,4,4,3,2
2,2,4,4,4,2
2,3,1,5,6,3
1,3,6,5,2,1
1,1,2,5,8,4
2,2,3,7,5,2
6,5,2,2,3,5
1,4,5,6,6,2
3,2,5,7,3,2
2,1,2,3,1,3
8,4,2,2,2,7
2,2,3,4,2,3
4,7,2,0,3,4
2,2,3,3,3,3
2,4,3,2,0,2
4,3,2,5,3,1
2,3,3,1,7,3
2,1,7,5,4,0
3,4,6,2,1,4
6,4,4,3,1,3
4,3,3,2,3,2
3,1,4,7,3,3
4,1,3,7,1,6
3,1,1,3,3,3
0,3,2,1,2,4
2,0,3,6,5,1
2,5,5,1,3,4
